fips,cases,deaths
19071.0,4,0
19073.0,157,0
19075.0,278,0
19077.0,411,0
19079.0,176,0
19081.0,148,0
19083.0,200,0
19085.0,625,0
19087.0,1088,37
19089.0,214,0
19091.0,89,0
19095.0,577,0
19097.0,189,0
19099.0,3538,50
19101.0,196,0
19103.0,14344,147
19105.0,665,0
19107.0,127,0
19109.0,63,0
19111.0,249,0
19113.0,19038,1201
19115.0,7323,54
19119.0,298,0
19121.0,180,31
19123.0,392,22
19125.0,243,0
19127.0,11459,31
19129.0,101,0
19131.0,93,0
19133.0,324,0
19135.0,24,0
19137.0,58,0
19139.0,9504,306
19141.0,242,0
19143.0,255,0
19145.0,215,0
19147.0,4,0
19149.0,598,0
19151.0,37,0
19153.0,31140,895
19155.0,1209,42
19157.0,1369,87
19161.0,18,0
19163.0,6910,151
19165.0,378,0
19167.0,622,0
19169.0,931,14
19171.0,7509,230
19173.0,45,0
19175.0,33,0
19177.0,298,0
19179.0,1651,0
19181.0,843,0
19183.0,4643,200
19185.0,11,0
19187.0,161,0
19189.0,78,0
19191.0,451,0
19193.0,18948,58
19195.0,36,0
19197.0,98,0
20003.0,3,0
20005.0,266,0
20007.0,35,0
20009.0,314,6
20011.0,266,35
20013.0,8,0
20015.0,533,0
20017.0,37,0
20019.0,133,0
20021.0,296,0
20023.0,25,0
20025.0,117,0
20027.0,114,15
20029.0,121,0
20031.0,1760,206
20035.0,76,33
20037.0,269,43
20041.0,44,0
20043.0,116,0
20045.0,1976,0
20047.0,59,0
20051.0,200,0
20053.0,12,0
20055.0,9412,52
20057.0,15048,16
20059.0,590,0
20061.0,380,0
20063.0,46,0
20067.0,101,0
20069.0,88,0
20073.0,80,0
20075.0,91,0
20077.0,12,0
20079.0,231,0
20081.0,172,0
20085.0,72,0
20087.0,285,0
20089.0,126,0
20091.0,16428,1189
20093.0,376,0
20097.0,28,0
20099.0,704,0
20103.0,11195,118
20107.0,280,0
20111.0,5429,31
20113.0,709,0
20115.0,176,15
20119.0,179,0
20121.0,169,0
20123.0,124,0
20125.0,571,76
20127.0,127,0
20129.0,78,0
20131.0,14,0
20133.0,88,0
20137.0,20,0
20139.0,182,0
20141.0,77,0
20143.0,134,0
20147.0,31,0
20149.0,357,0
20151.0,41,0
20155.0,988,0
20157.0,138,0
20159.0,54,0
20161.0,1394,0
20163.0,153,0
20169.0,616,66
20171.0,54,0
20173.0,11751,280
20175.0,10075,0
20177.0,3851,182
20179.0,42,0
20181.0,83,0
20183.0,52,0
20185.0,44,0
20187.0,131,0
20189.0,253,0
20191.0,121,33
20197.0,406,0
20205.0,25,0
20207.0,194,0
20209.0,22081,1630
21001.0,2125,240
21003.0,362,1
21005.0,270,52
21007.0,189,0
21009.0,456,0
21011.0,122,12
21015.0,4093,86
21017.0,307,57
21019.0,1092,95
21021.0,573,0
21023.0,249,0
21025.0,131,0
21027.0,268,0
21029.0,1690,85
21031.0,3411,112
21033.0,392,0
21035.0,945,35
21037.0,2684,236
21039.0,38,11
21041.0,87,0
21043.0,150,0
21045.0,28,0
21047.0,2938,96
21049.0,766,0
21051.0,27,0
21053.0,86,0
21055.0,123,22
21057.0,133,0
21059.0,5971,144
21061.0,678,30
21067.0,10041,327
21069.0,58,0
21071.0,272,0
21073.0,590,0
21075.0,27,0
21077.0,31,0
21079.0,55,0
21081.0,692,81
21083.0,2919,279
21085.0,1520,79
21087.0,39,0
21089.0,327,0
21091.0,183,0
21093.0,1338,13
21095.0,5,0
21097.0,837,0
21099.0,142,0
21101.0,1835,27
21103.0,189,0
21105.0,57,0
21107.0,5582,610
21109.0,1547,182
21111.0,38457,2771
21113.0,1340,0
21115.0,75,0
21117.0,7881,589
21119.0,98,0
21121.0,153,0
21123.0,184,0
21125.0,505,58
21127.0,42,0
21131.0,93,0
21133.0,62,0
21135.0,113,0
21137.0,134,27
21139.0,93,0
21141.0,514,14
21143.0,471,91
21145.0,1494,67
21147.0,348,0
21149.0,359,0
21151.0,992,37
21155.0,494,0
21157.0,807,11
21159.0,108,0
21161.0,212,0
21163.0,281,36
21165.0,142,0
21167.0,364,0
21169.0,19,0
21171.0,138,0
