FIPS,%_african_american,%_natamer_alaskan,%_asian,%_hawaii_pacisl,%_hisp,%_nonhisp_white
6051,0.7,2.9,1.8,0.8,27.7,65.3
6053,2.6,2.7,6.8,0.6,58.3,30.3
6055,2.0,1.3,8.5,0.4,33.9,53.0
6057,0.4,1.3,1.4,0.2,9.5,85.4
6059,1.6,1.1,20.4,0.4,34.3,41.1
6061,1.6,1.1,7.4,0.3,13.8,73.3
6063,1.0,3.2,1.3,0.1,9.0,83.3
6065,6.1,1.9,6.9,0.4,48.4,36.2
6067,9.8,1.6,16.2,1.3,23.0,45.6
6069,0.9,3.1,3.4,0.4,59.2,35.1
6071,8.2,2.0,7.4,0.5,52.8,29.3
6073,4.7,1.3,12.2,0.6,33.5,46.0
6075,5.0,0.8,35.4,0.4,15.2,40.9
6077,7.0,2.0,16.3,0.8,41.2,32.8
6079,1.7,1.4,3.9,0.2,22.3,69.2
6081,2.3,0.8,28.9,1.6,24.8,39.8
6083,1.8,2.2,5.9,0.2,45.1,45.0
6085,2.4,1.3,36.5,0.5,25.9,32.3
6087,1.0,1.8,4.9,0.2,33.5,57.7
6089,0.9,3.1,3.0,0.2,9.8,80.4
6091,0.3,2.4,0.6,0.1,11.0,83.9
6093,1.4,4.8,1.4,0.3,12.3,76.6
6095,13.8,1.2,15.7,1.0,26.2,38.7
6097,1.5,2.2,4.4,0.4,26.6,64.0
6099,2.6,2.0,5.9,0.9,45.6,42.8
6101,2.0,2.4,17.0,0.4,30.5,46.7
6103,0.7,3.4,1.4,0.2,24.7,68.6
6105,0.5,5.1,1.2,0.2,7.3,82.6
6107,1.2,2.8,4.0,0.2,64.1,29.2
6109,1.9,2.2,1.3,0.2,12.2,80.4
6111,1.7,1.8,7.6,0.3,42.5,45.8
6113,2.4,1.8,14.6,0.6,31.5,47.3
6115,3.4,2.9,7.3,0.5,27.8,55.8
8001,3.1,2.2,4.2,0.2,39.6,50.8
8003,1.2,5.4,1.6,0.3,46.1,48.5
8005,10.3,1.1,6.0,0.3,18.9,61.2
8007,0.6,3.5,1.2,0.1,18.0,77.0
8009,0.7,1.9,0.3,0.0,10.4,85.6
8011,7.4,3.3,1.8,0.1,32.0,56.5
8013,0.9,0.8,4.6,0.1,13.8,78.2
8014,1.3,0.8,6.2,0.1,12.2,77.6
8015,1.6,1.6,0.8,0.1,10.4,84.9
8017,0.8,1.4,0.5,0.1,12.5,84.4
8019,0.8,1.2,0.9,0.1,6.4,89.3
8021,0.3,3.9,0.7,0.2,53.1,44.2
8023,0.8,5.4,1.5,0.4,61.8,33.7
8025,10.2,3.4,1.5,0.0,31.6,53.7
8027,1.2,1.0,0.6,0.0,5.8,90.2
8029,0.6,1.4,0.9,0.1,15.2,81.2
8031,9.1,1.9,3.9,0.2,30.2,54.1
8033,0.2,3.2,0.1,0.1,6.1,88.3
8035,1.2,0.5,4.6,0.1,8.5,83.2
8037,1.0,1.3,1.2,0.1,29.7,67.1
8039,0.8,0.9,1.1,0.2,6.8,89.1
8041,6.0,1.4,2.9,0.4,16.7,69.9
8043,3.8,1.9,1.2,0.1,13.0,79.1
8045,0.6,1.7,0.9,0.2,28.2,68.6
8047,0.9,1.2,1.6,0.2,6.9,87.7
8049,0.7,0.7,0.9,0.2,8.4,88.1
8051,0.6,2.4,0.8,0.1,8.9,87.7
8053,0.6,1.3,0.9,0.0,4.3,90.6
8055,0.7,5.2,0.9,0.2,33.7,61.9
8057,0.1,2.3,0.6,0.0,11.6,85.9
8059,1.0,1.2,2.9,0.1,15.2,78.6
8061,0.6,0.8,0.0,0.5,7.3,90.8
8063,2.9,1.3,0.8,0.2,20.2,74.2
8065,0.5,2.4,0.6,0.1,36.6,60.1
8067,0.5,7.3,0.7,0.1,12.7,78.7
8069,0.9,1.0,2.3,0.1,11.2,83.1
8071,1.6,3.6,1.2,0.1,42.2,52.7
8073,5.4,1.2,1.0,0.1,13.6,77.9
8075,3.5,1.7,1.1,0.1,15.5,78.0
8077,0.7,1.5,0.9,0.1,14.4,81.7
8079,0.7,1.0,0.4,0.0,5.9,91.4
8081,0.7,1.6,0.8,0.1,15.6,80.5
8083,0.3,14.5,0.8,0.1,12.4,71.7
8085,0.5,1.8,0.9,0.3,20.4,76.2
8087,2.9,1.7,0.7,0.3,35.7,59.3
8089,0.9,3.6,1.0,0.2,41.6,54.7
8091,0.1,0.7,0.6,0.1,6.2,91.1
8093,0.7,1.3,1.1,0.0,6.0,89.4
8095,0.6,1.0,0.7,0.1,20.9,76.7
8097,1.1,0.5,1.5,0.2,9.9,86.0
8099,0.6,1.8,0.5,0.0,37.3,59.9
8101,1.8,3.1,1.0,0.2,42.8,52.4
8103,1.3,1.7,0.9,0.1,9.8,84.4
8105,0.4,3.3,0.6,0.1,44.0,52.7
8107,0.8,0.6,0.8,0.1,7.1,89.7
8109,0.8,3.5,0.9,0.0,36.8,58.1
8111,0.4,0.6,1.2,0.0,13.3,82.6
8113,0.5,1.3,0.9,0.1,10.7,85.9
8115,0.7,1.0,1.2,0.0,15.6,81.1
8117,0.9,0.9,1.2,0.1,13.9,82.7
8119,0.8,1.3,0.9,0.1,6.5,89.0
8121,0.9,0.3,0.4,0.1,9.1,88.0
8123,1.1,1.6,1.6,0.2,29.1,66.3
8125,0.4,0.9,0.5,0.2,22.1,76.2
9001,10.9,0.5,5.7,0.1,19.4,62.6
9003,13.1,0.5,5.4,0.1,17.6,62.1
9005,1.4,0.3,1.9,0.1,5.9,89.3
9007,4.8,0.3,3.1,0.1,6.1,84.2
9009,12.6,0.5,4.3,0.1,17.6,63.7
9011,5.7,1.2,4.5,0.2,10.4,75.7
